order_id,restaurant_lat,restaurant_lng,delivery_lat,delivery_lng,order_hour,order_day,weather,traffic,delivery_time
1,37.47490802376947,126.85553987865158,37.45234113674718,127.00181089826266,18.0,4,Clear,High,57.054530471801094
2,37.59014286128198,126.9625702842135,37.4493957598144,127.03900441915741,13.0,3,,Low,55.927791225786656
3,37.54639878836228,127.06188375076292,37.58125091610421,126.87514036963775,13.0,4,Cloudy,Medium,58.64576218917033
4,37.51973169683941,127.01966746592286,37.4499092399699,126.9874622298821,19.0,1,Rain,Medium,45.4994620266882
5,37.431203728088484,127.04196834435842,37.45438994522573,126.97152379494312,15.0,3,Cloudy,Medium,44.08658321153773
6,37.43119890406724,126.99763501001321,37.55187965248359,127.04984911303647,12.0,0,Clear,High,50.27467216043294
7,37.411616722433635,127.00768296935536,37.48994796849011,127.07182611814437,21.0,3,Clear,Medium,39.22930578705096
8,37.57323522915499,127.05475869546959,37.555342111391035,126.80364703144322,12.0,6,Clear,Medium,60.0
9,37.520223002348644,126.87490040265776,37.413073231512875,127.00220597571763,17.0,1,Rain,Low,58.638510889435324
10,37.54161451555921,126.94682748909294,37.497514238734674,126.81555073973591,14.0,5,Cloudy,Low,44.01859518491528
11,37.40411689885916,126.86636283254587,37.406722720036655,126.9646575995232,12.0,3,Cloudy,Low,29.166769414987385
12,37.5939819704324,127.096300402399,37.41253064069107,126.8862898187131,10.0,6,Clear,Low,60.0
13,37.566488528160086,127.08321780190597,37.581287490668885,126.89203297985664,14.0,6,Clear,High,60.0
14,37.442467822135654,126.81182804341054,37.427849074223516,126.9058875510357,10.0,6,Cloudy,High,43.80890807946369
15,37.43636499344142,127.0116725517547,37.50648413645504,126.98638773471488,13.0,4,Clear,Low,28.08503146740816
16,37.43668090197069,127.0775744952247,37.48221912052014,126.90021498970063,14.0,6,,High,60.0
17,37.4608484485919,126.8541726035382,37.46946866525177,127.01980971517708,12.0,4,Cloudy,,55.5156432561685
18,37.504951286326445,126.97038356916579,37.579966669137455,126.92135821567216,22.0,5,Clear,Medium,40.738858380108375
19,37.486389003728426,127.0746464892764,37.4043646793551,126.82050596009299,21.0,1,Clear,Low,60.0
20,37.45824582803961,126.81018379357573,37.53275793723512,127.03512795274523,11.0,2,Clear,Medium,60.0
21,37.522370578944475,127.00922608017405,37.59267888684271,126.88572749737781,15.0,4,Clear,Low,43.029156447179766
22,37.427898772130405,126.88920470221176,37.512033636692365,126.92983006387978,10.0,6,Rain,Medium,50.07064501113448
23,37.45842892970704,127.07731885861295,37.58736449240662,127.00563316496657,21.0,6,Clear,Medium,46.87719647162646
24,37.47327236865874,127.09131747354961,37.4104515758572,126.89973684714461,19.0,0,Clear,,60.0
25,37.491213996843406,127.08327994673402,37.48375866381483,126.81697569684401,22.0,6,Clear,Low,60.0
26,37.557035192278605,126.94226426499723,37.45203155819241,126.91217631410385,14.0,1,Cloudy,Low,39.71278294082625
